State,District,Year,Prec_Raviavg,Prec_Kharifavg,Temp_Raviavg,Temp_Kharifavg
Andaman and Nicobar,Nicobar Islands,1984,5.218,6.928,0.824,0.772
Andaman and Nicobar,Nicobar Islands,1985,3.066,5.994,0.824,0.688
Andaman and Nicobar,Nicobar Islands,1986,2.934,7.162,0.88,0.752
Andaman and Nicobar,Nicobar Islands,1987,3.346,6.464,0.924,0.748
Andaman and Nicobar,Nicobar Islands,1988,4.848,5.666,0.824,0.69
Andaman and Nicobar,Nicobar Islands,1989,2.906,6.134,0.924,0.722
Andaman and Nicobar,Nicobar Islands,1990,2.766,5.732,0.92,0.702
Andaman and Nicobar,Nicobar Islands,1991,3.014,7.198,0.948,0.76
Andaman and Nicobar,Nicobar Islands,1992,2.042,6.822,1.042,0.762
Andaman and Nicobar,Nicobar Islands,1993,5.122,6.252,0.92,0.714
Andaman and Nicobar,Nicobar Islands,1994,4.406,5.928,0.898,0.706
Andaman and Nicobar,Nicobar Islands,1995,4.578,7.214,0.918,0.752
Andaman and Nicobar,Nicobar Islands,1996,4.254,7.614,0.976,0.668
Andaman and Nicobar,Nicobar Islands,1997,2.822,4.892,0.958,0.686
Andaman and Nicobar,Nicobar Islands,1998,3.434,7.916,1.074,0.736
Andaman and Nicobar,Nicobar Islands,1999,4.2,6.182,0.824,0.696
Andaman and Nicobar,Nicobar Islands,2000,4.584,5.916,0.874,0.712
Andaman and Nicobar,Nicobar Islands,2001,5.238,6.214,0.866,0.68
Andaman and Nicobar,Nicobar Islands,2002,3.95,4.478,0.868,0.768
Andaman and Nicobar,Nicobar Islands,2003,3.952,5.972,0.824,0.726
Andaman and Nicobar,Nicobar Islands,2004,3.656,5.49,0.818,0.728
Andaman and Nicobar,Nicobar Islands,2005,4.04,6.396,0.924,0.714
Andaman and Nicobar,Nicobar Islands,2006,3.822,5.374,0.85,0.7
Andaman and Nicobar,Nicobar Islands,2007,3.646,6.75,0.952,0.674
Andaman and Nicobar,Nicobar Islands,2008,5.242,4.952,0.844,0.702
Andaman and Nicobar,Nicobar Islands,2009,3.992,4.71,0.86,0.654
Andaman and Nicobar,Nicobar Islands,2010,5.55,7.498,0.898,0.766
Andaman and Nicobar,Nicobar Islands,2011,6.162,6.112,0.792,0.74
Andaman and Nicobar,Nicobar Islands,2012,6.49,5.472,0.772,0.698
Andaman and Nicobar,Nicobar Islands,2013,5.696,7.724,0.856,0.704
Andaman and Nicobar,Nicobar Islands,2014,4.656,6.482,1.014,0.752
Andaman and Nicobar,Nicobar Islands,2015,3.668,6.078,0.988,0.784
Andaman and Nicobar,Nicobar Islands,2016,4.548,7.748,0.922,0.75
Andaman and Nicobar,Nicobar Islands,2017,5.764,5.798,0.838,0.774
Andhra Pradesh,Anantapur,1984,0.5436666666666666,2.1966666666666668,14.242333333333335,10.247666666666666
Andhra Pradesh,Anantapur,1985,0.416,2.1039999999999996,15.053666666666667,10.090333333333334
Andhra Pradesh,Anantapur,1986,0.5476666666666666,2.4076666666666666,14.157666666666666,10.151
Andhra Pradesh,Anantapur,1987,0.8426666666666667,2.936,14.214333333333334,9.520000000000001
Andhra Pradesh,Anantapur,1988,0.3016666666666667,3.731666666666667,15.076666666666668,8.788333333333332
Andhra Pradesh,Anantapur,1989,0.467,3.2083333333333335,15.734666666666667,9.802999999999999
Andhra Pradesh,Anantapur,1990,0.21866666666666668,2.0366666666666666,15.008000000000001,10.258666666666667
Andhra Pradesh,Anantapur,1991,0.4916666666666667,3.1006666666666667,14.694,9.731666666666667
Andhra Pradesh,Anantapur,1992,0.5536666666666666,2.4756666666666667,15.561,9.562
Andhra Pradesh,Anantapur,1993,0.7763333333333332,2.9096666666666664,14.771666666666667,9.525
Andhra Pradesh,Anantapur,1994,0.383,2.7113333333333336,14.348999999999998,9.779666666666666
Andhra Pradesh,Anantapur,1995,0.20366666666666666,3.3953333333333333,14.939666666666668,8.879333333333333
Andhra Pradesh,Anantapur,1996,0.31266666666666665,4.308666666666666,14.725999999999999,8.644666666666668
Andhra Pradesh,Anantapur,1997,1.015,2.489,13.938,9.973666666666666
Andhra Pradesh,Anantapur,1998,0.36966666666666664,3.997666666666667,14.165333333333335,8.299666666666667
Andhra Pradesh,Anantapur,1999,0.2763333333333333,3.171,15.095666666666666,9.549333333333333
Andhra Pradesh,Anantapur,2000,0.336,3.173,15.415000000000001,9.16
Andhra Pradesh,Anantapur,2001,0.19633333333333333,3.369666666666667,14.308333333333332,9.281666666666666
Andhra Pradesh,Anantapur,2002,0.223,2.3153333333333337,15.171,10.560333333333334
Andhra Pradesh,Anantapur,2003,0.258,2.2506666666666666,14.624333333333333,10.177666666666667
Andhra Pradesh,Anantapur,2004,0.18233333333333335,2.2623333333333333,15.689,9.419333333333332
Andhra Pradesh,Anantapur,2005,0.403,4.6353333333333335,13.692666666666668,7.692333333333333
Andhra Pradesh,Anantapur,2006,0.9663333333333334,2.1716666666666664,14.335333333333333,10.137666666666666
Andhra Pradesh,Anantapur,2007,0.20533333333333334,4.8309999999999995,14.574333333333334,8.020333333333333
Andhra Pradesh,Anantapur,2008,1.1916666666666667,3.371,14.138,9.048666666666668
Andhra Pradesh,Anantapur,2009,0.6243333333333333,3.141666666666667,14.130333333333333,9.321666666666667
Andhra Pradesh,Anantapur,2010,1.1380000000000001,3.5863333333333336,13.125666666666667,8.630666666666666
Andhra Pradesh,Anantapur,2011,0.26533333333333337,2.4106666666666667,15.307333333333332,10.324666666666667
Andhra Pradesh,Anantapur,2012,0.3973333333333333,2.3446666666666665,15.384,10.635
Andhra Pradesh,Anantapur,2013,0.21733333333333335,2.981666666666667,14.856,8.907333333333334
Andhra Pradesh,Anantapur,2014,0.35933333333333334,2.7479999999999998,14.162666666666667,9.778333333333334
Andhra Pradesh,Anantapur,2015,0.899,2.463,14.311333333333332,10.282666666666666
Andhra Pradesh,Anantapur,2016,0.28400000000000003,2.021,15.385666666666665,10.377333333333334
Andhra Pradesh,Anantapur,2017,0.239,4.387666666666667,14.644666666666666,9.123
Andhra Pradesh,Chittoor,1984,2.7466666666666666,3.0273333333333334,9.74,9.576
Andhra Pradesh,Chittoor,1985,2.5686666666666667,3.2086666666666663,11.298666666666668,8.818666666666667
Andhra Pradesh,Chittoor,1986,1.7633333333333334,3.0726666666666667,10.204666666666666,9.136000000000001
Andhra Pradesh,Chittoor,1987,2.2246666666666663,3.111333333333333,11.063333333333333,8.734666666666667
Andhra Pradesh,Chittoor,1988,1.7779999999999998,3.9606666666666666,11.249333333333333,8.056666666666667
Andhra Pradesh,Chittoor,1989,1.7486666666666668,3.5253333333333337,12.120666666666667,8.781333333333333
Andhra Pradesh,Chittoor,1990,0.98,3.457333333333333,11.342666666666666,9.432666666666668
Andhra Pradesh,Chittoor,1991,2.0973333333333333,4.672,11.379333333333335,8.63
Andhra Pradesh,Chittoor,1992,1.9626666666666666,2.7613333333333334,11.662666666666667,8.979999999999999
Andhra Pradesh,Chittoor,1993,2.746,3.9466666666666668,11.025333333333334,8.474666666666666
Andhra Pradesh,Chittoor,1994,2.616,3.171333333333333,10.703333333333333,9.353333333333333
Andhra Pradesh,Chittoor,1995,1.0406666666666666,4.279333333333334,10.819333333333333,7.816666666666666
Andhra Pradesh,Chittoor,1996,2.3,5.9353333333333325,11.485999999999999,7.632000000000001
Andhra Pradesh,Chittoor,1997,3.922,2.9433333333333334,10.083333333333334,9.243333333333334
Andhra Pradesh,Chittoor,1998,2.148,3.8626666666666662,10.416666666666666,7.563333333333333
Andhra Pradesh,Chittoor,1999,1.0533333333333335,3.3840000000000003,11.595333333333334,8.97
Andhra Pradesh,Chittoor,2000,1.5586666666666666,4.238,11.274000000000001,8.522
Andhra Pradesh,Chittoor,2001,1.6313333333333333,4.150666666666667,11.154666666666666,8.662
Andhra Pradesh,Chittoor,2002,1.3940000000000001,3.536,10.779333333333334,9.236
Andhra Pradesh,Chittoor,2003,0.7926666666666667,3.8266666666666667,11.58,8.522666666666666
Andhra Pradesh,Chittoor,2004,1.0833333333333333,4.231333333333333,11.792666666666667,8.176
Andhra Pradesh,Chittoor,2005,2.8013333333333335,5.447333333333333,10.414,8.034
Andhra Pradesh,Chittoor,2006,1.6573333333333335,3.81,10.225333333333333,9.398666666666667
Andhra Pradesh,Chittoor,2007,1.0886666666666667,5.733333333333333,11.124666666666668,7.541333333333334
Andhra Pradesh,Chittoor,2008,2.924,4.112666666666667,9.707333333333333,8.340666666666667
Andhra Pradesh,Chittoor,2009,2.5073333333333334,3.171333333333333,10.770000000000001,9.177333333333333
Andhra Pradesh,Chittoor,2010,2.2293333333333334,4.315333333333333,10.039333333333333,8.011333333333335
Andhra Pradesh,Chittoor,2011,1.7313333333333336,4.028666666666666,10.782000000000002,9.246666666666666
Andhra Pradesh,Chittoor,2012,1.0586666666666666,3.653333333333333,11.632666666666667,9.447333333333333
Andhra Pradesh,Chittoor,2013,0.9126666666666666,4.392666666666667,11.357333333333335,8.268666666666666
Andhra Pradesh,Chittoor,2014,1.0386666666666666,3.6646666666666667,11.213333333333333,9.126666666666667
Andhra Pradesh,Chittoor,2015,6.005333333333333,3.4633333333333334,10.269333333333334,9.232666666666667
Andhra Pradesh,Chittoor,2016,1.1340000000000001,2.4346666666666668,11.599333333333334,9.65
Andhra Pradesh,Chittoor,2017,1.54,5.4639999999999995,11.125333333333332,8.064
Andhra Pradesh,East Godavari,1984,0.485,4.432499999999999,11.404499999999999,6.4145
Andhra Pradesh,East Godavari,1985,0.7835,5.7225,11.363,6.223000000000001
Andhra Pradesh,East Godavari,1986,1.1995,4.7825,10.7715,6.756
Andhra Pradesh,East Godavari,1987,1.5365,4.6165,10.8735,6.6205
Andhra Pradesh,East Godavari,1988,0.268,6.9685,11.9015,5.6465
Andhra Pradesh,East Godavari,1989,0.2665,5.7465,12.7195,5.8665
Andhra Pradesh,East Godavari,1990,0.9525,4.984,11.0475,5.531499999999999
Andhra Pradesh,East Godavari,1991,1.4535,6.0695,11.046,5.6129999999999995
Andhra Pradesh,East Godavari,1992,1.9515,6.2705,10.768,5.9045000000000005
Andhra Pradesh,East Godavari,1993,0.325,5.0855,11.286000000000001,5.94
Andhra Pradesh,East Godavari,1994,2.1945,5.9945,11.0475,5.7745
Andhra Pradesh,East Godavari,1995,0.509,8.189,10.142,4.925
Andhra Pradesh,East Godavari,1996,0.5405,8.991,10.883,5.161
Andhra Pradesh,East Godavari,1997,1.311,5.1805,10.398,6.0695
Andhra Pradesh,East Godavari,1998,1.605,8.8635,9.752,4.996499999999999
Andhra Pradesh,East Godavari,1999,0.2405,4.723,11.9165,5.914
Andhra Pradesh,East Godavari,2000,0.3825,4.9765,12.2875,6.0169999999999995
Andhra Pradesh,East Godavari,2001,0.7755,4.6115,11.607,5.906499999999999
Andhra Pradesh,East Godavari,2002,0.5635,4.2235,11.7575,6.53
Andhra Pradesh,East Godavari,2003,0.8685,6.4775,10.793,5.4995
Andhra Pradesh,East Godavari,2004,0.14950000000000002,5.971,11.5005,5.4559999999999995
Andhra Pradesh,East Godavari,2005,0.3555,8.6095,10.7205,5.4235
Andhra Pradesh,East Godavari,2006,0.706,8.2175,10.778,5.7155000000000005
Andhra Pradesh,East Godavari,2007,0.133,7.7145,10.6545,5.0329999999999995
Andhra Pradesh,East Godavari,2008,1.705,5.5735,10.605,5.6795
Andhra Pradesh,East Godavari,2009,0.6375,3.954,11.6645,6.5705
Andhra Pradesh,East Godavari,2010,2.258,9.155000000000001,10.3335,4.9415
Andhra Pradesh,East Godavari,2011,0.425,4.7295,11.238,6.0865
Andhra Pradesh,East Godavari,2012,1.7655,7.5245,11.115,5.9395
Andhra Pradesh,East Godavari,2013,0.9255,7.6255,10.465,5.758
Andhra Pradesh,East Godavari,2014,0.3715,4.5954999999999995,10.914000000000001,6.5615000000000006
Andhra Pradesh,East Godavari,2015,0.818,6.9335,10.826,5.5215
Andhra Pradesh,East Godavari,2016,0.20550000000000002,6.8355,11.4225,5.4715
Andhra Pradesh,East Godavari,2017,0.2155,7.183,11.677,5.199
Andhra Pradesh,Guntur,1984,0.676,2.9196666666666666,11.281333333333334,7.780333333333334
Andhra Pradesh,Guntur,1985,0.9693333333333335,3.629,11.723333333333334,7.496333333333333
Andhra Pradesh,Guntur,1986,1.2536666666666667,2.5803333333333334,10.905666666666667,8.236666666666666
Andhra Pradesh,Guntur,1987,2.1446666666666667,3.9486666666666665,10.557,7.434666666666668
Andhra Pradesh,Guntur,1988,0.5956666666666667,5.081,11.757333333333333,6.7749999999999995
Andhra Pradesh,Guntur,1989,0.52,5.092333333333333,12.497333333333332,6.866
Andhra Pradesh,Guntur,1990,0.655,4.114999999999999,11.377333333333334,7.2683333333333335
Andhra Pradesh,Guntur,1991,1.7013333333333331,5.519666666666667,11.006,6.832
Andhra Pradesh,Guntur,1992,1.5830000000000002,4.33,11.293333333333331,7.141333333333333
Andhra Pradesh,Guntur,1993,0.6336666666666667,3.86,11.527666666666667,6.931333333333334
Andhra Pradesh,Guntur,1994,2.783333333333333,5.609333333333333,10.665999999999999,7.190333333333332
Andhra Pradesh,Guntur,1995,0.4086666666666667,5.505,10.403333333333334,6.476999999999999
Andhra Pradesh,Guntur,1996,0.4876666666666667,6.619,11.158333333333333,6.394666666666666
Andhra Pradesh,Guntur,1997,2.0176666666666665,5.164666666666666,10.38,7.152333333333334
Andhra Pradesh,Guntur,1998,0.7456666666666667,5.589333333333333,9.963333333333333,6.327000000000001
Andhra Pradesh,Guntur,1999,0.20033333333333334,3.1513333333333335,12.440333333333333,7.4816666666666665
Andhra Pradesh,Guntur,2000,0.7956666666666666,5.654333333333334,11.454333333333333,6.424666666666667
Andhra Pradesh,Guntur,2001,0.6663333333333333,4.195,11.513666666666667,7.033
Andhra Pradesh,Guntur,2002,0.7959999999999999,3.9973333333333336,11.153333333333334,7.512333333333333
Andhra Pradesh,Guntur,2003,0.9126666666666666,4.242666666666667,10.963666666666667,6.967
Andhra Pradesh,Guntur,2004,0.3253333333333333,3.790333333333333,11.761000000000001,7.222333333333334
Andhra Pradesh,Guntur,2005,0.5423333333333333,6.398666666666666,10.874,6.282666666666667
Andhra Pradesh,Guntur,2006,1.0996666666666666,6.553999999999999,10.500666666666666,7.360333333333334
Andhra Pradesh,Guntur,2007,0.19133333333333336,6.412,10.907000000000002,6.138000000000001
Andhra Pradesh,Guntur,2008,2.131333333333333,4.843666666666667,10.144,6.8486666666666665
Andhra Pradesh,Guntur,2009,1.1396666666666666,3.4973333333333336,10.948,7.710999999999999
Andhra Pradesh,Guntur,2010,1.3146666666666667,6.916666666666667,10.150333333333334,6.280666666666666
Andhra Pradesh,Guntur,2011,0.46900000000000003,3.251,11.592333333333334,7.854
Andhra Pradesh,Guntur,2012,1.1613333333333333,5.037333333333333,11.361666666666666,7.357333333333334
Andhra Pradesh,Guntur,2013,0.918,6.201999999999999,10.703666666666665,6.682333333333333
Andhra Pradesh,Guntur,2014,0.6093333333333333,3.797333333333333,10.886000000000001,7.522333333333333
Andhra Pradesh,Guntur,2015,0.782,3.9480000000000004,11.302666666666667,7.6290000000000004
Andhra Pradesh,Guntur,2016,0.1366666666666667,4.646999999999999,12.147666666666666,7.268999999999999
Andhra Pradesh,Guntur,2017,0.18266666666666667,5.436,11.807333333333332,6.628
Andhra Pradesh,Krishna,1984,0.4106666666666667,3.5113333333333334,13.228,7.971333333333334
Andhra Pradesh,Krishna,1985,0.8126666666666665,4.339333333333333,13.360666666666667,7.5760000000000005
Andhra Pradesh,Krishna,1986,1.1826666666666668,3.302,12.771333333333333,8.420666666666667
Andhra Pradesh,Krishna,1987,1.7873333333333334,4.275333333333333,12.318666666666667,7.629333333333334
Andhra Pradesh,Krishna,1988,0.4653333333333334,6.658,13.363999999999999,6.705333333333333
Andhra Pradesh,Krishna,1989,0.34933333333333333,5.938666666666666,14.326,6.788666666666667
Andhra Pradesh,Krishna,1990,0.7399999999999999,4.644,12.805333333333332,7.029333333333334
Andhra Pradesh,Krishna,1991,1.6326666666666665,5.978666666666666,12.565333333333333,6.7973333333333334
Andhra Pradesh,Krishna,1992,1.6793333333333333,5.236666666666667,12.498,7.220666666666666
Andhra Pradesh,Krishna,1993,0.37733333333333335,4.244,13.115333333333334,7.109999999999999
Andhra Pradesh,Krishna,1994,2.768666666666667,6.19,12.452666666666666,6.994
Andhra Pradesh,Krishna,1995,0.39266666666666666,6.668666666666667,11.800666666666666,6.4046666666666665
Andhra Pradesh,Krishna,1996,0.428,7.602,12.662666666666667,6.422666666666667
Andhra Pradesh,Krishna,1997,1.6493333333333335,5.7506666666666675,11.862,7.204666666666667
Andhra Pradesh,Krishna,1998,0.956,6.873333333333334,11.234,6.329999999999999
Andhra Pradesh,Krishna,1999,0.15066666666666667,3.8373333333333335,14.057333333333332,7.465333333333334
Andhra Pradesh,Krishna,2000,0.5873333333333334,5.831333333333333,13.406666666666666,6.631333333333333
Andhra Pradesh,Krishna,2001,0.578,4.426,13.219333333333333,7.083333333333333
Andhra Pradesh,Krishna,2002,0.7186666666666667,4.18,12.988,7.725999999999999
Andhra Pradesh,Krishna,2003,0.932,4.978000000000001,12.468666666666666,6.847333333333334
Andhra Pradesh,Krishna,2004,0.21466666666666667,4.606,13.506666666666666,7.038666666666667
Andhra Pradesh,Krishna,2005,0.4146666666666667,7.3500000000000005,12.485333333333335,6.352
Andhra Pradesh,Krishna,2006,0.87,7.668666666666667,12.033333333333333,7.218666666666667
Andhra Pradesh,Krishna,2007,0.13866666666666666,6.932666666666667,12.29,6.139333333333333
Andhra Pradesh,Krishna,2008,2.052,5.496666666666666,11.613333333333335,6.981333333333333
Andhra Pradesh,Krishna,2009,0.876,3.719333333333333,12.850666666666667,7.878666666666667
Andhra Pradesh,Krishna,2010,1.4560000000000002,8.058666666666667,11.645333333333333,6.304666666666667
Andhra Pradesh,Krishna,2011,0.438,4.020666666666667,13.150666666666666,7.673333333333333
Andhra Pradesh,Krishna,2012,1.3533333333333335,6.236,12.730666666666666,7.218666666666667
Andhra Pradesh,Krishna,2013,1.0466666666666666,7.034,12.027333333333333,6.669999999999999
Andhra Pradesh,Krishna,2014,0.3786666666666667,3.984666666666667,12.615333333333332,7.830666666666667
Andhra Pradesh,Krishna,2015,0.672,4.894666666666667,12.956666666666669,7.386666666666667
Andhra Pradesh,Krishna,2016,0.118,5.478666666666666,13.612666666666668,6.924666666666667
Andhra Pradesh,Krishna,2017,0.19466666666666665,6.18,13.337333333333333,6.462
Andhra Pradesh,Kurnool,1984,0.41675,3.018,14.507,9.73925
Andhra Pradesh,Kurnool,1985,0.41725,3.08225,15.467,9.0485
Andhra Pradesh,Kurnool,1986,0.5475,2.44125,14.41125,9.90975
Andhra Pradesh,Kurnool,1987,1.5245,2.768,14.18325,9.494
Andhra Pradesh,Kurnool,1988,0.2535,3.3655,15.6015,8.8385
Andhra Pradesh,Kurnool,1989,0.6205,3.66525,16.14975,9.277000000000001
Andhra Pradesh,Kurnool,1990,0.229,3.07125,15.12825,9.27325
Andhra Pradesh,Kurnool,1991,0.45025000000000004,3.971,15.245,9.11475
Andhra Pradesh,Kurnool,1992,0.52575,2.93225,15.939,9.3475
Andhra Pradesh,Kurnool,1993,0.6095,3.58875,14.965,8.80725
Andhra Pradesh,Kurnool,1994,0.53875,3.44875,14.30575,9.6015
Andhra Pradesh,Kurnool,1995,0.26,4.64225,14.44675,8.04825
Andhra Pradesh,Kurnool,1996,0.3025,5.4535,14.60325,8.082
Andhra Pradesh,Kurnool,1997,1.1332499999999999,3.28075,14.007,9.46475
Andhra Pradesh,Kurnool,1998,0.281,5.24,13.936,7.7525
Andhra Pradesh,Kurnool,1999,0.20925,2.7315,15.741,9.23175
Andhra Pradesh,Kurnool,2000,0.39425,4.33225,15.32025,8.23175
Andhra Pradesh,Kurnool,2001,0.23925000000000002,3.9797499999999997,14.762,8.894
Andhra Pradesh,Kurnool,2002,0.22899999999999998,3.32075,15.18375,9.61825
Andhra Pradesh,Kurnool,2003,0.257,3.53025,14.634500000000001,9.0905
Andhra Pradesh,Kurnool,2004,0.21425,2.6285,15.79025,9.14775
Andhra Pradesh,Kurnool,2005,0.276,5.56525,14.1105,7.46275
Andhra Pradesh,Kurnool,2006,0.9390000000000001,3.429,14.1845,9.0335
Andhra Pradesh,Kurnool,2007,0.1015,6.62175,14.77,7.6325
Andhra Pradesh,Kurnool,2008,1.28075,3.51225,14.0985,8.905249999999999
Andhra Pradesh,Kurnool,2009,0.53125,3.70325,14.33775,9.125499999999999
Andhra Pradesh,Kurnool,2010,0.62725,4.776,13.55175,8.01875
Andhra Pradesh,Kurnool,2011,0.1675,2.4895,15.517,9.917
Andhra Pradesh,Kurnool,2012,0.44799999999999995,3.10375,15.57425,9.783999999999999
Andhra Pradesh,Kurnool,2013,0.1995,4.3195,14.74925,8.21875
Andhra Pradesh,Kurnool,2014,0.42374999999999996,3.6310000000000002,14.0545,9.28875
Andhra Pradesh,Kurnool,2015,0.5745,2.62075,14.83675,9.99025
Andhra Pradesh,Kurnool,2016,0.1265,3.0692500000000003,15.86,9.353
Andhra Pradesh,Kurnool,2017,0.1315,4.42,15.2495,8.44175
Andhra Pradesh,Nellore,1984,3.4995,2.5895,8.849,8.532
Andhra Pradesh,Nellore,1985,2.7575000000000003,2.5484999999999998,10.2235,8.067499999999999
Andhra Pradesh,Nellore,1986,2.158,2.1145,9.1665,8.5005
Andhra Pradesh,Nellore,1987,2.956,2.8635,9.8335,8.0945
Andhra Pradesh,Nellore,1988,1.674,3.0395000000000003,10.341999999999999,7.7255
Andhra Pradesh,Nellore,1989,1.7890000000000001,2.7125,11.245000000000001,8.2565
Andhra Pradesh,Nellore,1990,1.136,3.4509999999999996,10.530000000000001,8.5335
Andhra Pradesh,Nellore,1991,3.0725,5.0805,10.369499999999999,8.025500000000001
Andhra Pradesh,Nellore,1992,2.5765000000000002,2.7024999999999997,10.3535,8.1055
Andhra Pradesh,Nellore,1993,3.1425,3.936,9.972999999999999,7.603
Andhra Pradesh,Nellore,1994,3.6310000000000002,3.6595,9.239,8.2385
Andhra Pradesh,Nellore,1995,1.0655000000000001,3.8695,9.3895,7.3175
Andhra Pradesh,Nellore,1996,2.3305,6.242,10.432500000000001,7.1795
Andhra Pradesh,Nellore,1997,4.447,2.7345,9.095500000000001,8.282
Andhra Pradesh,Nellore,1998,2.165,3.2965,9.151499999999999,6.9719999999999995
Andhra Pradesh,Nellore,1999,1.2005,2.4154999999999998,10.656500000000001,8.145
Andhra Pradesh,Nellore,2000,2.088,3.95,10.368,7.565500000000001
Andhra Pradesh,Nellore,2001,1.9995,3.787,10.202,7.795
Andhra Pradesh,Nellore,2002,1.626,3.931,9.58,8.095500000000001
Andhra Pradesh,Nellore,2003,1.0225,4.111,10.0815,7.565
Andhra Pradesh,Nellore,2004,1.3195,3.747,10.338000000000001,7.875
Andhra Pradesh,Nellore,2005,2.3970000000000002,5.0215,9.674,7.38
Andhra Pradesh,Nellore,2006,2.0735,3.8725,9.0835,8.359
Andhra Pradesh,Nellore,2007,0.876,6.468999999999999,9.782,6.8420000000000005
Andhra Pradesh,Nellore,2008,2.425,3.453,9.012,7.8065
Andhra Pradesh,Nellore,2009,3.2175000000000002,2.7395,9.6645,8.371500000000001
Andhra Pradesh,Nellore,2010,2.329,4.5845,8.988,7.234
Andhra Pradesh,Nellore,2011,1.722,3.9034999999999997,9.4895,8.457
Andhra Pradesh,Nellore,2012,1.3719999999999999,3.2225,10.555,8.6255
Andhra Pradesh,Nellore,2013,0.926,4.6955,10.1125,7.53
Andhra Pradesh,Nellore,2014,1.616,3.0425,9.773,8.3
Andhra Pradesh,Nellore,2015,5.13,3.399,9.401,8.181000000000001
Andhra Pradesh,Nellore,2016,0.997,2.1135,10.603,8.6985
Andhra Pradesh,Nellore,2017,1.285,4.7415,10.533999999999999,7.33
Andhra Pradesh,Prakasam,1984,1.1707272727272728,2.551090909090909,11.928363636363635,8.78418181818182
Andhra Pradesh,Prakasam,1985,1.1287272727272728,3.0627272727272725,12.9,8.290909090909091
Andhra Pradesh,Prakasam,1986,1.2754545454545454,2.1254545454545455,11.81581818181818,9.04
Andhra Pradesh,Prakasam,1987,2.48,3.2847272727272725,11.477636363636364,8.319454545454546
Andhra Pradesh,Prakasam,1988,0.6721818181818182,3.439818181818182,12.769454545454545,8.049818181818182
Andhra Pradesh,Prakasam,1989,0.7790909090909092,3.7474545454545454,13.691272727272729,8.054545454545455
Andhra Pradesh,Prakasam,1990,0.5952727272727273,3.4472727272727273,12.609454545454547,8.352727272727273
Andhra Pradesh,Prakasam,1991,1.6305454545454545,4.875636363636364,12.21018181818182,7.858181818181818
Andhra Pradesh,Prakasam,1992,1.530909090909091,3.3729090909090913,12.667818181818182,8.171636363636365
Andhra Pradesh,Prakasam,1993,1.1069090909090908,3.6067272727272726,12.382181818181818,7.7023636363636365
Andhra Pradesh,Prakasam,1994,2.258909090909091,4.414727272727273,11.432363636363636,8.349818181818181
Andhra Pradesh,Prakasam,1995,0.4978181818181818,4.316,11.343454545454545,7.489272727272728
Andhra Pradesh,Prakasam,1996,0.713090909090909,5.827454545454546,12.23018181818182,7.2281818181818185
Andhra Pradesh,Prakasam,1997,2.3212727272727274,3.787272727272727,11.339454545454545,8.266727272727273
Andhra Pradesh,Prakasam,1998,0.8227272727272728,4.640363636363636,11.045636363636364,7.222
Andhra Pradesh,Prakasam,1999,0.38290909090909087,2.5316363636363635,13.364727272727272,8.324545454545454
Andhra Pradesh,Prakasam,2000,0.9998181818181819,4.677090909090909,12.487272727272728,7.299272727272728
Andhra Pradesh,Prakasam,2001,0.8187272727272727,3.781090909090909,12.523818181818182,7.932545454545454
Andhra Pradesh,Prakasam,2002,0.8007272727272727,3.644545454545455,12.129818181818182,8.409818181818181
Andhra Pradesh,Prakasam,2003,0.7583636363636365,3.9303636363636367,12.00509090909091,7.884545454545455
Andhra Pradesh,Prakasam,2004,0.48636363636363633,3.2043636363636363,12.733818181818181,8.171454545454544
Andhra Pradesh,Prakasam,2005,0.7332727272727273,5.516727272727273,11.848363636363636,7.085454545454545
Andhra Pradesh,Prakasam,2006,1.2992727272727274,4.733090909090909,11.26290909090909,8.322181818181818
Andhra Pradesh,Prakasam,2007,0.2721818181818182,6.119272727272727,11.893818181818181,6.925272727272727
Andhra Pradesh,Prakasam,2008,1.8832727272727274,3.8009090909090912,11.223818181818181,7.904181818181818
Andhra Pradesh,Prakasam,2009,1.4234545454545453,3.2647272727272725,11.786,8.494909090909092
Andhra Pradesh,Prakasam,2010,1.2843636363636364,5.222545454545454,10.980545454545455,7.213454545454545
Andhra Pradesh,Prakasam,2011,0.5327272727272727,2.773636363636364,12.525272727272727,8.825454545454546
Andhra Pradesh,Prakasam,2012,1.0625454545454545,3.814363636363636,12.662545454545455,8.554
Andhra Pradesh,Prakasam,2013,0.6521818181818182,5.335999999999999,11.840363636363636,7.519818181818182
Andhra Pradesh,Prakasam,2014,0.8992727272727272,3.391454545454545,11.55490909090909,8.452363636363636
Andhra Pradesh,Prakasam,2015,1.2107272727272727,2.990727272727273,12.122727272727273,8.824545454545454
Andhra Pradesh,Prakasam,2016,0.22745454545454544,3.341818181818182,13.386363636363637,8.542545454545454
Andhra Pradesh,Prakasam,2017,0.2318181818181818,4.782727272727272,12.960727272727274,7.529090909090908
Andhra Pradesh,Srikakulam,1984,0.312,5.458,12.472,6.398
Andhra Pradesh,Srikakulam,1985,1.032,6.288,11.934,6.46
Andhra Pradesh,Srikakulam,1986,1.62,7.132,10.868,6.582
Andhra Pradesh,Srikakulam,1987,1.754,4.812,11.09,6.93
Andhra Pradesh,Srikakulam,1988,0.156,5.688,12.546,6.238
Andhra Pradesh,Srikakulam,1989,0.266,5.856,13.298,6.372
Andhra Pradesh,Srikakulam,1990,1.8,5.826,11.03,5.656
